"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2022","150,800","146,300","150,900","146,300","225,23K","3,08%"
"31.12.2021","146,300","148,000","152,500","143,800","344,87K","-1,22%"
"30.12.2021","148,100","145,500","149,900","143,000","318,21K","1,86%"
"29.12.2021","145,400","145,700","150,700","144,200","444,89K","-0,21%"
"28.12.2021","145,700","155,900","155,900","144,700","679,90K","-6,54%"
"27.12.2021","155,900","155,800","161,100","154,500","464,11K","0,06%"
"26.12.2021","155,800","157,700","158,300","153,000","890,80K","-1,20%"
"25.12.2021","157,700","161,000","163,600","157,700","453,25K","-2,05%"
"24.12.2021","161,000","163,500","166,700","160,300","411,82K","-1,53%"
"23.12.2021","163,500","155,400","165,100","153,200","521,21K","5,21%"
"22.12.2021","155,400","154,800","160,100","153,100","415,29K","0,39%"
"21.12.2021","154,800","152,600","156,300","149,200","375,36K","1,44%"
"20.12.2021","152,600","153,300","157,400","145,400","550,93K","-0,46%"
"19.12.2021","153,300","148,700","160,500","147,600","738,41K","3,09%"
"18.12.2021","148,700","144,100","150,200","142,900","300,89K","3,19%"
"17.12.2021","144,100","148,900","150,300","141,500","472,43K","-3,22%"
"16.12.2021","148,900","153,500","156,400","148,600","434,90K","-3,00%"
"15.12.2021","153,500","150,500","155,000","141,900","611,77K","1,93%"
"14.12.2021","150,600","144,500","151,800","143,000","511,83K","4,22%"
"13.12.2021","144,500","159,100","159,800","142,900","628,20K","-9,18%"
"12.12.2021","159,100","157,600","162,400","153,300","382,61K","0,95%"
"11.12.2021","157,600","148,400","159,300","146,000","558,52K","6,20%"
"10.12.2021","148,400","151,500","159,600","147,900","704,52K","-2,05%"
"09.12.2021","151,500","165,000","167,100","151,400","648,27K","-8,18%"
"08.12.2021","165,000","161,900","169,700","156,400","890,45K","1,91%"
"07.12.2021","161,900","161,600","165,600","158,500","672,33K","0,19%"
"06.12.2021","161,600","156,200","164,300","141,500","1,10M","3,46%"
"05.12.2021","156,200","162,900","164,900","148,900","1,08M","-4,11%"
"04.12.2021","162,900","188,000","189,200","130,300","2,76M","-13,35%"
"03.12.2021","188,000","203,500","207,500","180,500","824,67K","-7,62%"
"02.12.2021","203,500","208,800","210,100","200,100","562,33K","-2,54%"
"01.12.2021","208,800","207,800","217,600","205,600","674,03K","0,34%"
"30.11.2021","208,100","205,600","218,900","197,500","1,03M","1,27%"
"29.11.2021","205,500","199,600","209,300","195,400","811,22K","2,96%"
"28.11.2021","199,600","195,100","199,800","183,500","723,66K","2,25%"
"27.11.2021","195,200","195,800","200,700","190,800","524,81K","0,05%"
"26.11.2021","195,100","222,700","224,700","190,400","1,54M","-12,39%"
"25.11.2021","222,700","212,200","229,600","210,700","891,65K","4,95%"
"24.11.2021","212,200","216,400","217,700","206,100","586,49K","-1,94%"
"23.11.2021","216,400","209,100","218,400","205,600","710,13K","3,49%"
"22.11.2021","209,100","221,900","221,900","205,600","865,58K","-5,77%"
"21.11.2021","221,900","226,800","230,100","219,800","698,10K","-2,16%"
"20.11.2021","226,800","217,900","227,500","213,300","841,26K","4,08%"
"19.11.2021","217,900","204,200","220,700","199,800","1,04M","6,45%"
"18.11.2021","204,700","229,800","231,900","200,000","1,69M","-10,92%"
"17.11.2021","229,800","230,200","235,000","219,300","1,42M","-0,17%"
"16.11.2021","230,200","263,000","263,000","223,000","2,40M","-12,37%"
"15.11.2021","262,700","279,400","281,100","259,800","1,16M","-5,98%"
"14.11.2021","279,400","257,700","279,400","248,800","1,36M","8,42%"
"13.11.2021","257,700","251,100","263,900","245,400","1,17M","2,51%"
"12.11.2021","251,400","262,500","282,600","244,100","2,41M","-4,23%"
"11.11.2021","262,500","260,500","273,900","251,100","1,67M","0,77%"
"10.11.2021","260,500","262,000","295,100","252,700","3,73M","-0,65%"
"09.11.2021","262,200","228,900","274,500","227,100","3,26M","14,55%"
"08.11.2021","228,900","202,000","229,600","202,000","1,38M","13,37%"
"07.11.2021","201,900","197,600","202,100","197,100","351,14K","2,18%"
"06.11.2021","197,600","200,275","200,350","191,200","420,64K","-1,34%"
"05.11.2021","200,279","202,736","203,073","199,856","14,50M","-1,22%"
"04.11.2021","202,746","206,654","206,754","197,071","27,93M","-1,89%"
"03.11.2021","206,654","200,316","208,425","198,256","33,53M","3,11%"
"02.11.2021","200,414","197,288","203,873","196,051","28,99M","1,59%"
"01.11.2021","197,278","191,716","200,268","188,785","26,97M","2,89%"
"31.10.2021","191,743","189,512","194,154","187,665","24,38M","1,16%"
"30.10.2021","189,552","196,498","196,884","187,507","26,75M","-3,54%"
"29.10.2021","196,498","190,319","197,694","189,190","31,30M","3,25%"
"28.10.2021","190,319","179,742","193,570","178,541","34,58M","5,92%"
"27.10.2021","179,685","197,549","204,809","171,370","46,43M","-9,03%"
"26.10.2021","197,530","195,430","199,280","190,362","56,89M","1,08%"
"25.10.2021","195,421","190,441","197,319","189,660","60,19M","2,62%"
"24.10.2021","190,441","196,350","199,685","185,411","68,54M","-3,01%"
"23.10.2021","196,350","191,020","197,741","189,011","64,41M","2,84%"
"22.10.2021","190,930","196,790","201,349","188,045","73,99M","-2,95%"
"21.10.2021","196,741","207,429","214,459","195,360","77,56M","-5,10%"
"20.10.2021","207,312","188,750","209,239","185,641","66,81M","9,83%"
"19.10.2021","188,750","185,541","191,549","183,303","66,09M","1,72%"
"18.10.2021","185,550","183,731","187,281","178,643","70,90M","0,99%"
"17.10.2021","183,730","185,770","187,860","176,626","63,75M","-1,03%"
"16.10.2021","185,641","189,717","192,500","185,133","72,42M","-2,16%"
"15.10.2021","189,746","181,115","192,839","176,840","72,77M","4,77%"
"14.10.2021","181,115","177,530","186,454","177,021","70,82M","2,02%"
"13.10.2021","177,530","172,699","179,640","167,840","70,22M","2,84%"
"12.10.2021","172,629","179,142","179,150","166,560","70,53M","-3,70%"
"11.10.2021","179,260","174,840","185,249","172,418","71,84M","2,53%"
"10.10.2021","174,840","179,820","183,879","174,170","68,19M","-2,76%"
"09.10.2021","179,810","175,741","182,770","174,474","65,21M","2,31%"
"08.10.2021","175,751","178,460","183,346","174,643","69,27M","-1,52%"
"07.10.2021","178,460","178,430","186,930","173,549","73,56M","0,01%"
"06.10.2021","178,438","173,741","182,968","163,952","70,11M","2,71%"
"05.10.2021","173,731","167,460","175,378","166,670","65,50M","3,63%"
"04.10.2021","167,639","170,549","170,770","161,679","67,61M","-1,68%"
"03.10.2021","170,499","169,050","174,921","165,862","67,25M","0,86%"
"02.10.2021","169,040","166,141","172,648","164,631","64,60M","1,75%"
"01.10.2021","166,130","153,330","167,981","151,250","64,93M","8,35%"
"30.09.2021","153,330","144,831","154,379","143,950","64,00M","5,85%"
"29.09.2021","144,850","140,619","149,863","139,921","65,73M","3,00%"
"28.09.2021","140,629","145,030","148,750","140,140","68,37M","-3,05%"
"27.09.2021","145,050","150,849","154,869","144,842","69,36M","-3,84%"
"26.09.2021","150,849","150,850","153,347","142,001","69,02M","-0,06%"
"25.09.2021","150,940","152,061","155,742","148,865","72,92M","-0,71%"
"24.09.2021","152,021","163,840","165,950","141,813","69,57M","-7,21%"
"23.09.2021","163,840","161,460","164,750","157,242","71,66M","1,47%"
"22.09.2021","161,460","148,448","161,761","145,370","70,05M","9,00%"
"21.09.2021","148,132","156,990","162,247","144,901","69,48M","-5,64%"
"20.09.2021","156,990","175,600","175,870","153,761","71,68M","-10,58%"
"19.09.2021","175,560","181,341","181,650","172,740","68,85M","-3,18%"
"18.09.2021","181,331","179,790","185,327","178,001","75,85M","0,85%"
"17.09.2021","179,810","185,249","190,288","178,001","83,63M","-2,94%"
"16.09.2021","185,251","189,060","195,130","181,574","93,44M","-1,97%"
"15.09.2021","188,971","183,046","191,758","179,760","75,58M","3,33%"
"14.09.2021","182,889","179,269","188,741","176,204","71,59M","2,02%"
"13.09.2021","179,269","183,239","233,814","170,921","42,90M","-2,17%"
"12.09.2021","183,239","178,530","185,941","175,221","40,61M","2,64%"
"11.09.2021","178,520","174,051","186,139","173,402","43,45M","2,57%"
"10.09.2021","174,041","180,300","187,327","170,917","43,16M","-3,47%"
"09.09.2021","180,300","179,673","188,492","177,104","42,55M","0,41%"
"08.09.2021","179,567","177,948","188,707","169,646","36,93M","0,91%"
"07.09.2021","177,948","219,402","221,827","163,417","41,09M","-18,90%"
"06.09.2021","219,420","231,530","232,270","215,002","54,30M","-5,23%"
"05.09.2021","231,530","212,020","232,171","210,473","52,80M","9,09%"
"04.09.2021","212,239","212,763","224,990","208,762","53,99M","-0,22%"
"03.09.2021","212,700","183,372","217,600","180,037","2,07M","15,91%"
"02.09.2021","183,500","180,841","187,891","179,500","683,37K","1,47%"
"01.09.2021","180,841","171,539","182,703","168,906","37,72M","5,45%"
"31.08.2021","171,490","167,349","175,252","165,740","36,13M","2,49%"
"30.08.2021","167,329","174,352","176,348","166,650","37,78M","-4,00%"
"29.08.2021","174,292","175,480","182,589","173,101","39,23M","-0,67%"
"28.08.2021","175,460","176,130","176,970","171,430","34,06M","-0,37%"
"27.08.2021","176,120","167,610","176,139","165,093","37,99M","5,08%"
"26.08.2021","167,610","177,820","180,130","165,037","40,91M","-5,75%"
"25.08.2021","177,839","173,511","178,869","169,329","46,00M","2,44%"
"24.08.2021","173,600","186,960","188,460","172,744","45,75M","-7,17%"
"23.08.2021","187,013","185,911","191,260","183,694","166,37K","0,58%"
"22.08.2021","185,929","179,697","189,548","178,689","49,53M","3,47%"
"21.08.2021","179,698","183,549","184,341","176,810","46,32M","-2,11%"
"20.08.2021","183,568","175,680","183,979","174,251","44,93M","4,49%"
"19.08.2021","175,680","166,701","175,777","162,752","43,78M","5,34%"
"18.08.2021","166,782","168,775","174,457","163,010","42,33M","-1,18%"
"17.08.2021","168,776","178,025","184,300","168,071","47,45M","-5,21%"
"16.08.2021","178,048","184,621","188,739","176,641","1,81M","-3,62%"
"15.08.2021","184,729","182,791","186,390","175,682","50,00M","1,10%"
"14.08.2021","182,710","183,270","184,955","175,200","944,59K","-0,31%"
"13.08.2021","183,270","165,352","184,410","164,135","45,52M","10,83%"
"12.08.2021","165,356","170,736","179,599","160,991","1,46M","-3,18%"
"11.08.2021","170,789","165,314","176,008","164,273","23,87M","3,30%"
"10.08.2021","165,332","166,401","168,149","158,860","23,59M","-0,67%"
"09.08.2021","166,441","149,672","170,487","145,347","23,85M","11,22%"
"08.08.2021","149,653","155,980","157,497","147,303","22,06M","-4,10%"
"07.08.2021","156,057","147,883","156,299","147,134","1,33M","5,61%"
"06.08.2021","147,771","143,514","150,672","141,774","19,45M","3,08%"
"05.08.2021","143,360","142,559","145,108","136,260","615,05K","0,54%"
"04.08.2021","142,588","138,364","144,449","135,680","18,62M","3,14%"
"03.08.2021","138,250","141,390","143,190","135,873","402,66K","-2,23%"
"02.08.2021","141,410","140,351","145,819","138,938","231,32K","0,75%"
"01.08.2021","140,350","144,093","149,710","138,384","20,14M","-3,00%"
"31.07.2021","144,691","145,556","146,478","141,891","18,53M","-0,61%"
"30.07.2021","145,580","141,290","145,751","135,948","18,93M","3,04%"
"29.07.2021","141,290","140,257","142,951","136,864","544,09K","0,99%"
"28.07.2021","139,900","134,747","141,929","132,671","728,40K","3,84%"
"27.07.2021","134,729","131,112","135,005","127,471","17,75M","2,77%"
"26.07.2021","131,094","127,709","140,323","126,979","19,30M","2,75%"
"25.07.2021","127,590","125,886","127,959","123,781","120,65K","1,64%"
"24.07.2021","125,531","124,153","127,399","123,842","15,64M","1,04%"
"23.07.2021","124,237","120,718","124,621","117,067","15,75M","2,91%"
"22.07.2021","120,718","117,689","121,995","115,679","15,73M","2,64%"
"21.07.2021","117,615","107,252","119,160","105,158","15,92M","9,64%"
"20.07.2021","107,270","113,102","115,025","104,049","766,19K","-5,15%"
"19.07.2021","113,098","119,163","120,681","111,865","16,46M","-5,10%"
"18.07.2021","119,172","119,870","124,019","116,409","15,75M","-0,58%"
"17.07.2021","119,870","120,594","122,818","117,702","608,60K","-0,60%"
"16.07.2021","120,594","125,653","127,786","120,430","16,88M","-4,02%"
"15.07.2021","125,642","131,059","133,078","122,066","17,13M","-4,13%"
"14.07.2021","131,056","131,420","132,388","124,070","17,68M","-0,27%"
"13.07.2021","131,410","133,391","134,592","129,540","17,68M","-1,51%"
"12.07.2021","133,424","134,160","139,678","132,006","18,63M","-0,55%"
"11.07.2021","134,160","133,990","136,417","132,089","162,24K","0,13%"
"10.07.2021","133,982","134,543","136,702","130,512","17,88M","-0,41%"
"09.07.2021","134,535","130,530","135,725","127,795","15,99M","3,07%"
"08.07.2021","130,530","137,403","137,698","127,904","13,56M","-4,99%"
"07.07.2021","137,390","138,910","142,908","136,957","13,82M","-1,10%"
"06.07.2021","138,913","137,700","142,669","135,704","13,31M","0,85%"
